name,set_name,card_number,rarity,product_line,card_type,hp,stage,type_hp_stage,card_text,attack1,attack2,attack3,attack4,weakness,resistance,retreat_cost,regulation_mark,standard_legal,image_file,quantity,category,source_url
Haunter,ME02: Phantasmal Flames,055/094,Uncommon,Pokemon,Darkness,100,Stage 1,Darkness / 100 / Stage 1,,[D] Spooky Shot (40),,,,Fighting ×2,,1,I,yes,660408_haunter-055-094.jpg,2,deck,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/haunter-055-094
Punk Helmet,ME02: Phantasmal Flames,092/094,Uncommon,Pokemon,Trainer - Pokémon Tool,,,Trainer - Pokémon Tool,"If the Darkness Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), place 4 damage counters on the Attacking Pokémon.",,,,,,,,I,yes,660419_punk-helmet.jpg,4,deck,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/punk-helmet
Gastly,ME03: Perfect Order,048/088,Common,Pokemon,Darkness,70,Basic,Darkness / 70 / Basic,,"[D] Surprise Attack (30) - Flip a coin. If tails, this attack does nothing.",,,,Fighting ×2,,1,J,yes,684429_gastly.jpg,4,deck,https://store.tcgplayer.com/pokemon/me03-perfect-order/gastly
Gengar,ME03: Perfect Order,050/088,Rare,Pokemon,Darkness,130,Stage 2,Darkness / 130 / Stage 2,"Infinite Shadow - If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon, put it into your hand instead of the discard pile. (Discard all attached cards.)",[D] Mind Jack (10+) - This attack does 30 more damage for each of your opponent's Benched Pokémon.,,,,Fighting ×2,,1,J,yes,684431_gengar.jpg,3,deck,https://store.tcgplayer.com/pokemon/me03-perfect-order/gengar
Dark Bell,ME05: Pitch Black,075/084,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,Both Active non-Darkness Pokémon are now Confused.,,,,,,,,J,yes,704832_dark-bell-075-084.jpg,2,deck,https://store.tcgplayer.com/pokemon/me05-pitch-black/dark-bell-075-084
Gwynn,ME05: Pitch Black,078/084,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Discard up to 2 Pokémon that don't have a Rule Box from your hand, and draw 3 cards for each card you discarded in this way. (Pokémon ex, Pokémon V, etc. have Rule Boxes.)",,,,,,,,J,yes,704835_gwynn-078-084.jpg,4,deck,https://store.tcgplayer.com/pokemon/me05-pitch-black/gwynn-078-084
Shadowy Darkness Energy,ME05: Pitch Black,083/084,Rare,Pokemon,Energy - Special,,,Energy - Special,"As long as this card is attached to a Pokémon, it provides [D] Energy. As long as the [D] Pokémon this card is attached to is on your Bench, prevent all damage done to it by attacks from your opponent's Pokémon.",,,,,,,,J,yes,704840_shadowy-darkness-energy.jpg,4,deck,https://store.tcgplayer.com/pokemon/me05-pitch-black/shadowy-darkness-energy
Basic Darkness Energy,MEE: Mega Evolution Energies,7,Common,Pokemon,Energy - Basic,,,Energy - Basic,,,,,,,,,,yes,656269_basic-darkness-energy-007.jpg,38,deck,https://store.tcgplayer.com/pokemon/mee-mega-evolution-energies/basic-darkness-energy-007
Buddy-Buddy Poffin,SV05: Temporal Forces,144/162,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Search your deck for up to 2 Basic Pokémon with 70 HP or less and put them onto your bench. Then, shuffle your deck.",,,,,,,,H,yes,542659_buddy-buddy-poffin.jpg,9,deck,https://store.tcgplayer.com/pokemon/sv05-temporal-forces/buddy-buddy-poffin
Koffing,SV09: Journey Together,091/159,Common,Pokemon,Darkness,60,Basic,Darkness / 60 / Basic,,[C] Tackle (10),[CD] Suffocating Gas (20),,,Fighting ×2,,1,I,yes,623518_koffing.jpg,3,deck,https://store.tcgplayer.com/pokemon/sv09-journey-together/koffing
Weezing,SV09: Journey Together,092/159,Uncommon,Pokemon,Darkness,130,Stage 1,Darkness / 130 / Stage 1,,[D] Pervasive Gas (30) - Your opponent’s Active Pokémon is now Confused.,"[CD] Crazy Blast (50+) - If this Pokémon used Pervasive Gas during your last turn, this attack does 120 more damage.",,,Fighting ×2,,2,I,yes,623519_weezing.jpg,3,deck,https://store.tcgplayer.com/pokemon/sv09-journey-together/weezing
Night Stretcher,SV: Shrouded Fable,061/064,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,Put a Pokémon or a Basic Energy card from your discard pile into your hand.,,,,,,,,H,yes,560372_night-stretcher.jpg,10,deck,https://store.tcgplayer.com/pokemon/sv-shrouded-fable/night-stretcher
