name,set_name,card_number,rarity,product_line,card_type,hp,stage,type_hp_stage,card_text,attack1,attack2,attack3,attack4,weakness,resistance,retreat_cost,regulation_mark,standard_legal,image_file,quantity,category,source_url
Boss's Orders,MBG: MEGA Starter Set Mega Gengar ex,020/021,Common,Pokemon Japan,Trainer - Supporter,,,Trainer - Supporter,Switch in 1 of your opponent's Benched Pokémon to the Active Spot.,,,,,,,,I,japanese,660136_bosss-orders.jpg,2,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/bosss-orders
Buddy-Buddy Poffin,MBG: MEGA Starter Set Mega Gengar ex,010/021,Common,Pokemon Japan,Trainer - Item,,,Trainer - Item,"Search your deck for up to 2 Basic Pokémon with 70 HP or less and put them onto your Bench. Then, shuffle your deck.",,,,,,,,I,japanese,660127_buddy-buddy-poffin.jpg,2,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/buddy-buddy-poffin
Eternatus,MBG: MEGA Starter Set Mega Gengar ex,008/021,Common,Pokemon Japan,Darkness,150,Basic,Darkness / 150 / Basic,,[DD] Shatter (50) - Discard a Stadium in play.,"[DDD] Power Rush (130) - Flip a coin. If tails, during your next turn, this Pokémon can't attack.",,,Fighting ×2,,2,I,japanese,660125_eternatus.jpg,1,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/eternatus
Gastly,MBG: MEGA Starter Set Mega Gengar ex,001/021,Common,Pokemon Japan,Darkness,70,Basic,Darkness / 70 / Basic,,[D] Petty Grudge (10),,,,Fighting ×2,,1,I,japanese,660119_gastly.jpg,4,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/gastly
Haunter,MBG: MEGA Starter Set Mega Gengar ex,002/021,Common,Pokemon Japan,Darkness,100,Stage 1,Darkness / 100 / Stage 1,,[D] Spooky Shot (40),,,,Fighting ×2,,1,I,japanese,660120_haunter-002-021.jpg,2,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/haunter-002-021
Haunter,MBG: MEGA Starter Set Mega Gengar ex,022/021,Art Rare,Pokemon Japan,Darkness,100,Stage 1,Darkness / 100 / Stage 1,,[D] Spooky Shot (40),,,,Fighting ×2,,1,I,japanese,654108_haunter-022-021.jpg,1,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/haunter-022-021
Honchkrow,MBG: MEGA Starter Set Mega Gengar ex,005/021,Common,Pokemon Japan,Darkness,130,Stage 1,Darkness / 130 / Stage 1,,[D] Wind of Darkness (30),[DDC] Snipe Feather - Discard 2 Energy from this Pokémon. This attack does 120 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),,,Lightning ×2,Fighting -30,1,I,japanese,660122_honchkrow.jpg,1,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/honchkrow
Iris's Fighting Spirit,MBG: MEGA Starter Set Mega Gengar ex,019/021,Common,Pokemon Japan,Trainer - Supporter,,,Trainer - Supporter,You can use this card only if you discard another card from your hand. Draw cards until you have 6 cards in your hand.,,,,,,,,I,japanese,660135_iriss-fighting-spirit.jpg,4,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/iriss-fighting-spirit
Lillie's Determination,MBG: MEGA Starter Set Mega Gengar ex,021/021,Common,Pokemon Japan,Trainer - Supporter,,,Trainer - Supporter,"Shuffle your hand into your deck. Then, draw 6 cards. If you have exactly 6 Prize cards remaining, draw 8 cards instead.",,,,,,,,I,japanese,660137_lillies-determination.jpg,4,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/lillies-determination
Mega Gengar ex,MBG: MEGA Starter Set Mega Gengar ex,003/021,Double Rare,Pokemon Japan,Darkness,350,Mega ex,Darkness / 350 / Mega ex,"Concealed in Shadow - Whenever any of your Darkness Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon ex, that player takes 1 fewer Prize card. The effect of Concealed in Shadow doesn't stack.",[DD] Void Gale (230) - Move an Energy from this Pokémon to 1 of your Benched Pokémon.,,,,Fighting ×2,,2,I,japanese,653856_mega-gengar-ex.jpg,2,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/mega-gengar-ex
Mega Signal,MBG: MEGA Starter Set Mega Gengar ex,015/021,Common,Pokemon Japan,Trainer - Item,,,Trainer - Item,"Search your deck for a Mega Evolution Pokémon ex, reveal it, and put it into your hand. Then, shuffle your deck.",,,,,,,,I,japanese,660131_mega-signal.jpg,1,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/mega-signal
Murkrow,MBG: MEGA Starter Set Mega Gengar ex,004/021,Common,Pokemon Japan,Darkness,60,Basic,Darkness / 60 / Basic,,"[D] Ambush (10+) - Flip a coin. If heads, this attack does 20 more damage.",,,,Lightning ×2,Fighting -30,1,I,japanese,660121_murkrow.jpg,2,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/murkrow
Night Stretcher,MBG: MEGA Starter Set Mega Gengar ex,016/021,Common,Pokemon Japan,Trainer - Item,,,Trainer - Item,Put a Pokémon or a Basic Energy card from your discard pile into your hand.,,,,,,,,I,japanese,660132_night-stretcher.jpg,1,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/night-stretcher
Prime Catcher,MBG: MEGA Starter Set Mega Gengar ex,013/021,Common,Pokemon Japan,Trainer - Item,,,Trainer - Item,"Switch in 1 of your opponent's Benched Pokémon to the Active Spot. If you do, switch your Active Pokémon with 1 of your Benched Pokémon.",,,,,,,,I,japanese,654130_prime-catcher.jpg,1,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/prime-catcher
Punk Helmet,MBG: MEGA Starter Set Mega Gengar ex,017/021,Common,Pokemon Japan,Trainer - Pokémon Tool,,,Trainer - Pokémon Tool,"If the Darkness Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if it is Knocked Out), place 4 damage counters on the Attacking Pokémon.",,,,,,,,I,japanese,660133_punk-helmet.jpg,2,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/punk-helmet
Rare Candy,MBG: MEGA Starter Set Mega Gengar ex,012/021,Common,Pokemon Japan,Trainer - Item,,,Trainer - Item,"Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can't use this card during your first turn or on a Basic Pokémon that was put into play this turn.",,,,,,,,I,japanese,660129_rare-candy.jpg,2,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/rare-candy
Sableye,MBG: MEGA Starter Set Mega Gengar ex,006/021,Common,Pokemon Japan,Darkness,80,Basic,Darkness / 80 / Basic,,"[D] Arrogant Claw (20+) - If you have any Stage 2 Darkness Pokémon on your Bench, this attack does 70 more damage.",,,,Grass ×2,,1,I,japanese,660123_sableye.jpg,2,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/sableye
Switch,MBG: MEGA Starter Set Mega Gengar ex,014/021,Common,Pokemon Japan,Trainer - Item,,,Trainer - Item,Switch your Active Pokémon with 1 of your Benched Pokémon.,,,,,,,,I,japanese,660130_switch.jpg,2,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/switch
Tatsugiri,MBG: MEGA Starter Set Mega Gengar ex,009/021,Common,Pokemon Japan,Dragon,70,Basic,Dragon / 70 / Basic,"Attract Customers - Once during your turn, if this Pokémon is in the Active Spot, you may look at the top 6 cards of your deck, reveal a Supporter card you find there, and put it into your hand. Shuffle the other cards back into your deck.",[RW] Surf (50),,,,,,1,I,japanese,660126_tatsugiri.jpg,1,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/tatsugiri
Ultra Ball,MBG: MEGA Starter Set Mega Gengar ex,011/021,Common,Pokemon Japan,Trainer - Item,,,Trainer - Item,"You can use this card only if you discard 2 other cards from your hand. Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.",,,,,,,,I,japanese,660128_ultra-ball.jpg,4,collection,https://store.tcgplayer.com/pokemon-japan/mbg-mega-starter-set-mega-gengar-ex/ultra-ball
Energy Switch,ME01: Mega Evolution,115/132,Common,Pokemon,Trainer - Item,,,Trainer - Item,Move a Basic Energy from 1 of your Pokémon to another of your Pokémon.,,,,,,,,I,yes,654454_energy-switch.jpg,2,collection,https://store.tcgplayer.com/pokemon/me01-mega-evolution/energy-switch
Mega Signal,ME01: Mega Evolution,121/132,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Search your deck for a Mega Evolution Pokémon ex, reveal it, and put it into your hand. Then, shuffle your deck.",,,,,,,,I,yes,654460_mega-signal-121-132.jpg,1,collection,https://store.tcgplayer.com/pokemon/me01-mega-evolution/mega-signal-121-132
Wally's Compassion,ME01: Mega Evolution,132/132,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Heal all damage from 1 of your Mega Evolution Pokémon ex. If you healed any damage in this way, put all Energy attached to that Pokémon into your hand.",,,,,,,,I,yes,654471_wallys-compassion-132-132.jpg,2,collection,https://store.tcgplayer.com/pokemon/me01-mega-evolution/wallys-compassion-132-132
Battle Cage,ME02: Phantasmal Flames,085/094,Uncommon,Pokemon,Trainer - Stadium,,,Trainer - Stadium,Prevent all damage counters from being placed on Benched Pokémon (both yours and your opponent's) by effects of attacks and Abilities from the opponent's Pokémon. (Damage from attacks is still taken.),,,,,,,,I,yes,662130_battle-cage-085-094.jpg,2,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/battle-cage-085-094
Charmander,ME02: Phantasmal Flames,011/094,Common,Pokemon,Fire,80,Basic,Fire / 80 / Basic,"Agile - If this Pokémon has no Energy attached, it has no Retreat Cost.",[R] Live Coal (20),,,,Water ×2,,2,I,yes,662143_charmander.jpg,1,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/charmander
Charmeleon,ME02: Phantasmal Flames,012/094,Common,Pokemon,Fire,110,Stage 1,Fire / 110 / Stage 1,,[R] Steady Firebreathing (40),,,,Water ×2,,2,I,yes,662144_charmeleon.jpg,1,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/charmeleon
Eternatus,ME02: Phantasmal Flames,069/094,Uncommon,Pokemon,Darkness,150,Basic,Darkness / 150 / Basic,,[DD] Shatter (50) - Discard a Stadium in play.,"[DDD] Power Rush (130) - Flip a coin. If tails, during your next turn, this Pokémon can't attack.",,,Fighting ×2,,2,I,yes,660406_eternatus.jpg,1,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/eternatus
Gastly,ME02: Phantasmal Flames,054/094,Common,Pokemon,Darkness,70,Basic,Darkness / 70 / Basic,,[D] Petty Grudge (10),,,,Fighting ×2,,1,I,yes,660495_gastly.jpg,9,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/gastly
Grimsley's Move,ME02: Phantasmal Flames,090/094,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,Look at the top 7 cards of your deck and put a Darkness Pokémon you find there onto your Bench. Shuffle the other cards and put them on the bottom of your deck. You can't use this card during your first turn.,,,,,,,,I,yes,660418_grimsleys-move.jpg,1,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/grimsleys-move
Mega Gengar ex,ME02: Phantasmal Flames,056/094,Double Rare,Pokemon,Darkness,350,Stage 2,Darkness / 350 / Stage 2,"Shadowy Concealment - If 1 of your Darkness Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon ex, that player takes 1 fewer Prize card. The effect of Shadowy Concealment doesn't stack.",[DD] Void Gale (230) - Move an Energy from this Pokémon to 1 of your Benched Pokémon.,,,,Fighting ×2,,2,I,yes,660380_mega-gengar-ex.jpg,3,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/mega-gengar-ex
Punk Helmet,ME02: Phantasmal Flames,121/094,Ultra Rare,Pokemon,Trainer - Pokémon Tool,,,Trainer - Pokémon Tool,"If the Darkness Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), place 4 damage counters on the Attacking Pokémon.",,,,,,,,I,yes,662218_punk-helmet-121-094.jpg,1,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/punk-helmet-121-094
Sableye,ME02: Phantasmal Flames,059/094,Common,Pokemon,Darkness,80,Basic,Darkness / 80 / Basic,,"[D] Cocky Claw (20+) - If you have any Stage 2 Darkness Pokémon on your Bench, this attack does 70 more damage.",,,,Grass ×2,,1,I,yes,660412_sableye.jpg,2,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/sableye
Seviper,ME02: Phantasmal Flames,062/094,Uncommon,Pokemon,Darkness,120,Basic,Darkness / 120 / Basic,"Excited Power - If you have any Darkness Mega Evolution Pokémon ex in play, attacks used by this Pokémon do 120 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance).",[DDD] Pitch-Black Fangs (120),,,,Fighting ×2,,1,I,yes,660413_seviper.jpg,2,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/seviper
Toxel,ME02: Phantasmal Flames,067/094,Common,Pokemon,Darkness,70,Basic,Darkness / 70 / Basic,,"[D] Call for Family - Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.",[DC] Playful Kick (20),,,Fighting ×2,,1,I,yes,660411_toxel.jpg,2,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/toxel
Toxtricity,ME02: Phantasmal Flames,068/094,Rare,Pokemon,Darkness,140,Stage 1,Darkness / 140 / Stage 1,"Sinister Surge - Once during your turn, you may use this Ability. Search your deck for a Basic Darkness Energy card and attach it to 1 of your Benched Darkness Pokémon. Then, shuffle your deck. If you attached Energy to a Pokémon in this way, place 2 damage counters on that Pokémon.",[DDC] Gentle Slap (100),,,,Fighting ×2,,2,I,yes,660409_toxtricity.jpg,2,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/toxtricity
Wondrous Patch,ME02: Phantasmal Flames,094/094,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,Attach a Basic Psychic Energy card from your discard pile to 1 of your Benched Psychic Pokémon.,,,,,,,,I,yes,662241_wondrous-patch.jpg,1,collection,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/wondrous-patch
Clefairy,ME03: Perfect Order,030/088,Common,Pokemon,Psychic,70,Basic,Psychic / 70 / Basic,,[P] Follow Me - Switch in 1 of your opponent's Benched Pokémon to the Active Spot.,[PP] Flop (30),,,Metal ×2,,1,J,yes,684414_clefairy-030-088.jpg,0,collection,https://store.tcgplayer.com/pokemon/me03-perfect-order/clefairy-030-088
Haunter,ME03: Perfect Order,049/088,Common,Pokemon,Darkness,100,Stage 1,Darkness / 100 / Stage 1,,[D] Haunt - Place 3 damage counters on your opponent's Active Pokémon.,,,,Fighting ×2,,1,J,yes,684430_haunter.jpg,2,collection,https://store.tcgplayer.com/pokemon/me03-perfect-order/haunter
Mega Zygarde ex,ME03: Perfect Order,047/088,Double Rare,Pokemon,Fighting,310,Basic,Fighting / 310 / Basic,,"[FFF] Gaia Wave (200) - During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).","[FFFFF] Nullifying Zero - For each of your opponent's Pokémon, flip a coin. If heads, this attack does 150 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",,,Grass ×2,,2,J,yes,684336_mega-zygarde-ex-047-088.jpg,0,collection,https://store.tcgplayer.com/pokemon/me03-perfect-order/mega-zygarde-ex-047-088
Poke Pad,ME03: Perfect Order,081/088,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Search your deck for a Pokémon that doesn't have a Rule Box, reveal it, and put it into your hand. Then, shuffle your deck. (Pokémon ex, Pokémon V, etc. have Rule Boxes.)",,,,,,,,J,yes,684332_poke-pad-081-088.jpg,4,collection,https://store.tcgplayer.com/pokemon/me03-perfect-order/poke-pad-081-088
Telepathic Psychic Energy,ME03: Perfect Order,088/088,Rare,Pokemon,Energy - Special Psychic,,,Energy - Special Psychic,"As long as this card is attached to a Pokémon, it provides [P] Energy. When you attach this card from your hand to a [P] Pokémon, search your deck for up to 2 Basic [P] Pokémon and put them onto your Bench. Then, shuffle your deck.",,,,,,,,J,yes,684396_telepathic-psychic-energy.jpg,4,collection,https://store.tcgplayer.com/pokemon/me03-perfect-order/telepathic-psychic-energy
Beldum,ME04: Chaos Rising,059/086,Common,Pokemon,Metal,70,Basic,Metal / 70 / Basic,,[M] Headbutt (10),[MC] Beam (20),,,Fire ×2,Grass -30,1,J,yes,693455_beldum.jpg,0,collection,https://store.tcgplayer.com/pokemon/me04-chaos-rising/beldum
Gourgeist ex,ME04: Chaos Rising,041/086,Double Rare,Pokemon,Psychic,270,Stage 1,Psychic / 270 / Stage 1,,[P] Horrifying Rondo (30+) - This attack does 50 more damage for each of your Benched Pokémon that has any damage counters on it.,[PP] Ghostly Touch (140) - Discard a random card from your opponent's hand.,,,Darkness ×2,Fighting -30,2,J,yes,693497_gourgeist-ex-041-086.jpg,2,collection,https://store.tcgplayer.com/pokemon/me04-chaos-rising/gourgeist-ex-041-086
Magnetic Metal Energy,ME04: Chaos Rising,085/086,Rare,Pokemon,Energy - Special Metal,,,Energy - Special Metal,"As long as this card is attached to a Pokémon, it provides [M] Energy. The [M] Pokémon this card is attached to has no Retreat Cost.",,,,,,,,J,yes,693506_magnetic-metal-energy.jpg,0,collection,https://store.tcgplayer.com/pokemon/me04-chaos-rising/magnetic-metal-energy
Philippe,ME04: Chaos Rising,079/086,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,Attach up to 2 Basic Metal Energy cards from your discard pile to 1 of your Metal Pokémon.,,,,,,,,J,yes,693532_philippe-079-086.jpg,0,collection,https://store.tcgplayer.com/pokemon/me04-chaos-rising/philippe-079-086
Pumpkaboo,ME04: Chaos Rising,040/086,Common,Pokemon,Psychic,60,Basic,Psychic / 60 / Basic,,[P] Stampede (20),,,,Darkness ×2,Fighting -30,2,J,yes,693536_pumpkaboo.jpg,2,collection,https://store.tcgplayer.com/pokemon/me04-chaos-rising/pumpkaboo
Chi-Yu,ME05: Pitch Black,059/084,Rare,Pokemon,Darkness,90,Basic,Darkness / 90 / Basic,,"[D] Whirling Envy (20+) - If this Pokémon has 2 or more damage counters on it, this attack does 90 more damage. This attack's damage isn't affected by Weakness.",,,,Grass ×2,,1,J,yes,704816_chi-yu.jpg,2,collection,https://store.tcgplayer.com/pokemon/me05-pitch-black/chi-yu
Drilbur,ME05: Pitch Black,046/084,Common,Pokemon,Fighting,70,Basic,Fighting / 70 / Basic,,"[C] Call for Family - Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.",[CCC] Dig Claws (50),,,Grass ×2,,2,J,yes,704803_drilbur.jpg,0,collection,https://store.tcgplayer.com/pokemon/me05-pitch-black/drilbur
Lampent,ME05: Pitch Black,037/084,Uncommon,Pokemon,Psychic,90,Stage 1,Psychic / 90 / Stage 1,,"[P] Spreading Light - Search your deck for up to 3 Lampent and put them onto your Bench. Then, shuffle your deck.",,,,Darkness ×2,Fighting -30,1,J,yes,704794_lampent.jpg,9,collection,https://store.tcgplayer.com/pokemon/me05-pitch-black/lampent
Litwick,ME05: Pitch Black,036/084,Common,Pokemon,Psychic,70,Basic,Psychic / 70 / Basic,,[P] Will-O-Wisp (20),,,,Darkness ×2,Fighting -30,1,J,yes,704793_litwick.jpg,10,collection,https://store.tcgplayer.com/pokemon/me05-pitch-black/litwick
Marshadow,ME05: Pitch Black,040/084,Uncommon,Pokemon,Psychic,90,Basic,Psychic / 90 / Basic,,[P] Shadowy Knot (30x) - This attack does 30 damage for each Retreat Cost.,,,,Darkness ×2,Fighting -30,1,J,yes,704797_marshadow.jpg,2,collection,https://store.tcgplayer.com/pokemon/me05-pitch-black/marshadow
Mega Chandelure ex,ME05: Pitch Black,038/084,Double Rare,Pokemon,Psychic,350,Stage 2,Psychic / 350 / Stage 2,Binding Flame - Your opponent's Active Pokémon's Retreat Cost is {{e}} more.,[PP] Phantom Maze (130+) - This attack does 50 more damage for each Retreat Cost.,,,,Darkness ×2,Fighting -30,2,J,yes,704795_mega-chandelure-ex-038-084.jpg,4,collection,https://store.tcgplayer.com/pokemon/me05-pitch-black/mega-chandelure-ex-038-084
Mega Excadrill ex,ME05: Pitch Black,065/084,Double Rare,Pokemon,Metal,340,Stage 1,Metal / 340 / Stage 1,,[MM] Undermine (90) - Discard the top 2 cards of your opponent's deck.,"[MMM] Maximum Drilling (200+) - If this Pokémon has at least 2 extra Energy attached (in addition to this attack's cost), this attack does 130 more damage.",,,Fire ×2,Grass -30,4,J,yes,704822_mega-excadrill-ex-065-084.jpg,0,collection,https://store.tcgplayer.com/pokemon/me05-pitch-black/mega-excadrill-ex-065-084
Air Balloon,ME: Ascended Heroes,181/217,Uncommon,Pokemon,Trainer - Pokémon Tool,,,Trainer - Pokémon Tool,The Retreat Cost of the Pokémon this card is attached to is {{e}}{{e}} less.,,,,,,,,I,yes,675993_air-balloon.jpg,1,collection,https://store.tcgplayer.com/pokemon/me-ascended-heroes/air-balloon
Gastly (Energy Symbol Pattern),ME: Ascended Heroes,123/217,Common,Pokemon,Darkness,70,Basic,Darkness / 70 / Basic,,[D] Petty Grudge (10),,,,Fighting ×2,,1,I,yes,677089_gastly-energy-symbol-pattern.jpg,1,collection,https://store.tcgplayer.com/pokemon/me-ascended-heroes/gastly-energy-symbol-pattern
Snorunt (Love Ball),ME: Ascended Heroes,046/217,Common,Pokemon,Water,70,Basic,Water / 70 / Basic,,[W] Chilly (10),,,,Metal ×2,,1,I,yes,676890_snorunt-046-217-love-ball.jpg,1,collection,https://store.tcgplayer.com/pokemon/me-ascended-heroes/snorunt-046-217-love-ball
Haunter,ME: Mega Evolution Promo,027,Illustration Rare,Pokemon,Darkness,100,Stage 1,Darkness / 100 / Stage 1,,[D] Spooky Shot (40),,,,Fighting ×2,,1,I,yes,659232_haunter-027.jpg,1,collection,https://store.tcgplayer.com/pokemon/me-mega-evolution-promo/haunter-027
Basic Grass Energy,MEE: Mega Evolution Energies,1,Common,Pokemon,Energy - Basic,,,Energy - Basic,,,,,,,,,,yes,656263_basic-grass-energy-001.jpg,3,collection,https://store.tcgplayer.com/pokemon/mee-mega-evolution-energies/basic-grass-energy-001
Basic Lightning Energy,MEE: Mega Evolution Energies,4,Common,Pokemon,Energy - Basic,,,Energy - Basic,,,,,,,,,,yes,656266_basic-lightning-energy-004.jpg,0,collection,https://store.tcgplayer.com/pokemon/mee-mega-evolution-energies/basic-lightning-energy-004
Basic Metal Energy,MEE: Mega Evolution Energies,8,Common,Pokemon,Energy - Basic,,,Energy - Basic,,,,,,,,,,yes,656270_basic-metal-energy-008.jpg,0,collection,https://store.tcgplayer.com/pokemon/mee-mega-evolution-energies/basic-metal-energy-008
Basic Psychic Energy,MEE: Mega Evolution Energies,5,Common,Pokemon,Energy - Basic,,,Energy - Basic,,,,,,,,,,yes,656267_basic-psychic-energy-005.jpg,27,collection,https://store.tcgplayer.com/pokemon/mee-mega-evolution-energies/basic-psychic-energy-005
