# Cards we want but do not have. See add_cards.py.
#
#   query<TAB>number<TAB>quantity<TAB>note<TAB>kind
#
# quantity 0 means a card we want but do not own. It still gets a full card page
# in the deck plans. Pin the number whenever a name has more than one printing;
# Umbreon ex is a $2 card and a $200 card depending which one you land on.
#
# kind says why the row exists, and it is the column to trust. The section
# headers below are for reading, not for meaning: a row appended to the end of
# the file used to inherit whatever heading happened to be last, which is how a
# binder pull and a mail reorder both ended up filed under an energy-acceleration
# tier list. kind travels with the row instead.
#
#   deck       a deck plan asks for it; wishlist.html costs these against cards.csv
#   ordered    bought, in a cart or in the mail, not arrived yet
#   binder     a collector pull. never going in a deck, so no plan asks for it
#   reorder    paid for once and it never turned up
#   reference  wanted only so a page can show the card art while explaining it
#
# A row is spent once add_cards.py has looked it up: the product id lands in
# product-ids.tsv and the card lands in cards.csv, and those two are the record
# of what we own. So a card that arrives comes out of this file rather than
# being re-filed as owned. Research shortlists do not belong here either - an
# energy-acceleration survey once seeded 40 candidates into this file, and every
# page that read the data took them for 40 things to go buy.

#
# --- eevee-standard.md, the Rainbow DNA toolbox ----------------------------------
Gengar Spirit Link Phantom Forces	095/119	0	only to show the card while explaining why to skip it	reference
#
# --- metal-excadrill.md, Fox's Metal deck ----------------------------------------
# Nothing metal was in the binders at all, so every row here is a first buy.
Mega Excadrill ex Pitch Black	065/084	0	NOT the 103/084 secret print	deck
Drilbur Pitch Black	046/084	0	the Call for Family print, not the other four	deck
Metang Temporal Forces	114/162	0	the Metal Maker print; the other Metangs have no ability	deck
Beldum Chaos Rising	059/086	0	metal-excadrill	deck
Genesect ex Black Bolt	067/086	0	NOT the 161 or 169 secret prints	deck
Fezandipiti ex Shrouded Fable	038/064	0	metal-excadrill; priciest card in the list	deck
Philippe Chaos Rising	079/086	0	metal-excadrill	deck
Brock's Scouting Journey Together	146/159	0	metal-excadrill	deck
Drayton Surging Sparks	174/191	0	metal-excadrill	deck
Mega Signal Mega Evolution	121/132	0	metal-excadrill	deck
Energy Recycler Destined Rivals	164/182	0	NOT the Perfect Order 108 secret print	deck
Full Metal Lab Temporal Forces	148/162	0	metal-excadrill; the fire-weakness patch	deck
Magnetic Metal Energy Chaos Rising	085/086	0	special energy, fixes Retreat 4	deck
Basic Metal Energy Mega Evolution Energies	8	0	metal-excadrill runs 11	deck
